gen | min | max | avg
1 | -787.3367580504553 | 113.31397518073608 | -328.7299566948093
2 | -656.9308755818379 | 113.31397518073608 | -192.18695986554394
3 | -678.3082256556111 | 249.70719576292547 | -93.42731523712148
4 | -724.5699475446247 | 249.70719576292547 | -32.140838703518746
5 | -656.550354913844 | 249.70719576292547 | -10.994316044366657
6 | -636.8318814855734 | 249.70719576292547 | 2.0103568415702706
7 | -675.1686649809106 | 203.77202305731083 | -5.067660056203243
8 | -749.871452785609 | 203.77202305731083 | 10.916450472626874
9 | -670.2683400401485 | 314.1239659582004 | 35.250090528086595
10 | -537.6655623519723 | 314.1239659582004 | 54.04719336159118
11 | -554.5111432155174 | 314.1239659582004 | 57.703956378512366
12 | -608.129190887126 | 314.1239659582004 | 69.51528203511954
13 | -671.5514253311782 | 314.1239659582004 | 64.16558258467033
14 | -533.1547893614309 | 314.77647753175984 | 90.56228433745359
15 | -534.6727081522238 | 314.77647753175984 | 90.60410181260518
16 | -580.3178494311201 | 314.77647753175984 | 83.00685468397069
17 | -514.0006797553758 | 314.77647753175984 | 105.5808602557902
18 | -601.9749332938038 | 479.09957288288643 | 100.36775311931596
19 | -658.8092596000087 | 479.09957288288643 | 102.56877042039672
20 | -686.431571848263 | 479.09957288288643 | 99.9769117852828
21 | -631.8334302109408 | 479.09957288288643 | 117.98152581174959
22 | -544.7587208259355 | 479.09957288288643 | 112.49673299469276
23 | -558.180010951643 | 479.09957288288643 | 136.5686330304097
24 | -856.3786926505833 | 479.09957288288643 | 162.26600516030177
25 | -646.9794006247436 | 479.09957288288643 | 166.13517069408854
26 | -841.9902631913345 | 479.09957288288643 | 185.69380168289817
27 | -681.356155171667 | 479.09957288288643 | 189.12832912138558
28 | -656.7921670455845 | 479.09957288288643 | 192.71855767943617
29 | -727.758560419884 | 479.09957288288643 | 211.6803443862545
30 | -626.310100761781 | 479.09957288288643 | 216.7829790814668
31 | -727.758560419884 | 479.09957288288643 | 177.58022362141344
32 | -514.469509308151 | 479.09957288288643 | 200.01487088373486
33 | -688.9424581122031 | 479.09957288288643 | 202.9413103352187
34 | -836.3198665266267 | 479.09957288288643 | 180.39547216959164
35 | -846.0947152070241 | 479.09957288288643 | 187.60277187092046
36 | -849.3990171441985 | 479.09957288288643 | 207.60884591147104
37 | -618.5060482502817 | 509.5831291137073 | 191.76275253949993
38 | -686.1125398275655 | 509.5831291137073 | 211.64848076442973
39 | -657.1696640369547 | 509.5831291137073 | 204.2041206481768
40 | -621.497584336142 | 509.5831291137073 | 202.89193132254516
41 | -785.0419439850408 | 521.8115103974665 | 199.18788137179004
42 | -581.6136348537352 | 521.8115103974665 | 198.5567163308979
43 | -614.3996606136303 | 521.8115103974665 | 215.4924498306794
44 | -717.0425894749545 | 574.9259023214294 | 212.66841866133637
45 | -562.4199614422068 | 574.9259023214294 | 224.91426166724895
46 | -690.593986912402 | 574.9259023214294 | 241.54542862537113
47 | -778.3722835088265 | 509.5831291137073 | 204.48487643116698
48 | -505.05892028521185 | 574.9259023214294 | 238.37952716573943
49 | -690.593986912402 | 574.9259023214294 | 235.22407265173007
50 | -500.62618561997454 | 574.9259023214294 | 245.12777405563895
51 | -634.5512190882034 | 574.9259023214294 | 239.52431133707378
